64	 0.9511314539846771	 0.003312630059235675 
80	 0.9467951485620101	 0.003687369635478682 
96	 0.94306064401802	 0.004138574714946953 
112	 0.940803097643639	 0.0037586925716253127 
128	 0.9386373376905606	 0.004115493215940122 
144	 0.9376456462697085	 0.0037514621196609362 
160	 0.9365752394801564	 0.004067784510440654 
176	 0.9359839016268648	 0.003772818913285257 
192	 0.9337689576466215	 0.003890320676031729 
208	 0.932844057207692	 0.004678201523207204 
224	 0.9324988439881089	 0.0038537497733395543 
240	 0.9325302814803778	 0.004574870667588271 
256	 0.9323918942319691	 0.004384077263896077 
