64	 0.22896844751357615	 0.010070964612886842 
80	 0.2941378150940129	 0.010321640385541326 
96	 0.34847015589927355	 0.009172416934125618 
112	 0.3908837127526873	 0.008944505897084206 
128	 0.4288691365338617	 0.00908568655987859 
144	 0.4592457184631612	 0.008002773315832145 
160	 0.48722316988645703	 0.007631398065903444 
176	 0.5110742477997156	 0.008325799715326978 
192	 0.5326174808772723	 0.007133329251769689 
208	 0.5501676230648745	 0.007515894659735685 
224	 0.5684933305108374	 0.007871148312439237 
240	 0.5843383670067842	 0.007472010808148799 
256	 0.599911407019021	 0.006958238583501924 
