64	 0.1551675806411623	 0.010284749688159601 
80	 0.12353719204587321	 0.010145404176622849 
96	 0.10571229750667203	 0.011376588409675701 
112	 0.08908297237660555	 0.010114153041456263 
128	 0.07737699167645093	 0.01224291392623369 
144	 0.06745862090369067	 0.012409156193519092 
160	 0.062084521009697795	 0.011530195332222664 
176	 0.05773344484337488	 0.011766580523064816 
192	 0.04963583833057034	 0.013033411524165848 
208	 0.04983849570725909	 0.01061644623692784 
224	 0.04515038828122805	 0.012666246579709993 
