64	 0.7084978030224575	 0.005119323711732518 
80	 0.7253645804692397	 0.004828361149441825 
96	 0.7411652132094834	 0.004881504749690983 
112	 0.754216642811427	                  0.004667359944806046 
128	 0.7649765380727926	 0.004418570658892864 
144	 0.774026541978375	                  0.00452094604565505 
160	 0.7821375501722673	 0.004541459776373996 
176	 0.7891685578571642	 0.004803971275675534 
192	 0.7951448987218472	 0.005301273837561588 
208	 0.8007726619908603	 0.004871366452021694 
224	 0.8048627283185208	 0.0050086070234352425 
